1,-213.25,38.94
2,457.81,208.16
3,46.71,8.69
4,1198.97,195.99
5,30.94,21.78
6,4.43,6.64
7,-54.04,7.3
8,127.7,42.76
9,-695.26,138.14
10,-226.36,4.98
11,-166.85,4.28
12,-14.33,3.95
13,134.72,21.78
14,114.46,47.98
15,-4.72,5.28
16,782.91,39.89
17,93.8,15.74
18,440.72,100.98
19,-481.04,71.37
20,-11.68,65.99
21,313.58,155.99
22,26.92,3.69
23,-5.77,4.71
24,-172.88,15.99
25,-144.55,4.89
26,5.76,2.88
27,4.9,2.84
28,-547.61,449.99
29,-5.45,13.48
30,41.67,6.08
31,-46.03,5.98
32,33.67,40.99
33,140.01,7.31
34,-78.96,20.99
35,252.66,40.96
36,-1766.01,95.95
37,-236.27,3.89
38,80.44,120.98
39,118.94,30.98
40,3424.22,500.98
41,-11.83,7.84
42,52.35,18.97
43,-180.2,115.99
44,1.32,2.88
45,-375.64,4.48
46,-104.25,125.99
47,85.96,3.75
48,-8.38,12.28
49,1115.69,155.99
50,-3.05,8.69
51,514.07,31.78
52,-7.04,3.98
53,4.41,5.88
54,-0.06,9.65
55,-50.33,7.99
56,87.68,58.1
57,-68.22,80.48
58,-354.9,92.23
59,-267.01,85.99
60,3.63,11.48
61,-1759.58,1637.53
62,-116.79,6.48
63,-67.28,6.48
64,-19.33,28.15
65,-61.21,4.98
66,119.09,6.35
67,-141.27,10.9
68,-77.28,7.3
69,407.44,39.48
70,-338.27,100.98
71,52.56,19.98
72,1902.24,276.2
73,353.2,15.67
74,271.78,25.98
75,-268.36,300.98
76,70.39,19.98
77,-86.62,6.48
78,-846.73,80.98
79,8.05,1.88
80,-78.02,6.48
81,737.94,102.3
82,-191.28,6.48
83,-21.49,1.89
84,884.08,62.05
85,-329.49,279.48
86,2825.15,320.98
87,2.13,18.97
88,707.15,48.91
89,75.13,4.13
90,-270.63,140.98
91,3387.35,218.08
92,-82.16,50.98
93,-3.88,10.14
94,-191.22,15.99
95,31.21,262.11
96,-44.14,33.98
97,-0.79,1.76
98,76.42,19.84
99,93.36,19.98
100,4.22,95.99
